TimeSinceMark,CurrentStage,AltitudeASL,DownRange,SpeedSurface,SpeedOrbital,Mass,Acceleration,Q,AoA,AoS,AoD,AltitudeTrue,Pitch,GravityLosses,DragLosses,SteeringLosses,DeltaVExpended
847.9112596747,2,6470.36095041145,138303.169243807,40.2766864896057,41.420629864639,0,0,0,-17.8361685872207,-15.0317096969703,15.028610334471,493.327378990278,-1.23948707580566,-3.19266313227083,NaN,NaN,NaN
848.131259674665,2,64688.0213859844,138239.248910346,402.802829586827,414.241290611807,8.87038428895175,0,0,-178.36063850655,-150.301375109693,150.270367973242,45041.2798109295,-12.4056862831116,-3.19266313227083,NaN,NaN,NaN
848.35125967463,2,64661.6231853232,138175.315421711,402.863722958752,414.300537164036,8.87038428895175,0,0,-178.358865480146,-150.274771642405,150.243746443893,63133.8736595137,-12.4240006446838,-3.19266313227083,NaN,NaN,NaN
848.571259674594,2,64635.2110805157,138111.36878759,402.924656703902,414.359823546733,8.87038428895175,0,0,-178.357091632336,-150.248170593367,150.217130031654,63107.3107853414,-12.44232006073,-3.19266313227083,NaN,NaN,NaN
848.791259674559,2,64608.7827210523,138047.408966022,402.985630909245,414.419149769028,8.87038428895175,0,0,-178.355316784365,-150.221567954541,150.190509101694,63082.9212008295,-12.4606421470642,-3.19266313227083,NaN,NaN,NaN
849.011259674524,2,64583.7691449472,137989.237020725,403.043316860239,414.475276665876,8.87038428895175,0,0,-178.353621281464,-150.196075388959,150.164998982116,63057.6254105735,-12.4783095359802,-3.19266313227083,NaN,NaN,NaN
849.231259674489,2,64558.2589856648,137925.252626937,403.102150522169,414.532520699386,8.87038428895175,0.0605047260033809,0,-178.351946068187,-150.169534317813,150.138444419797,63033.1048328472,-12.4968754768372,-3.19266313227083,NaN,NaN,NaN
849.451259674453,2,64531.7833440533,137861.25447755,403.16324247498,414.591962866718,8.87038428895175,0.00932314143914696,0,-178.350188693939,-150.142914315607,150.111805530988,63011.0935674588,-12.5152263641357,-3.19266313227083,NaN,NaN,NaN
849.671259674418,2,64505.2914468189,137797.24932129,403.224374920127,414.651444907735,8.87038428895175,3.02796677410298E-05,0,-178.348419180522,-150.116919046109,150.085793551623,62986.3002607747,-12.5329558372498,-3.19266313227083,NaN,NaN,NaN
849.891259674383,2,64478.7832937092,137733.227460796,403.285547869838,414.710966835204,8.87038428895175,3.02970192522798E-05,0,-178.346630281363,-150.091091274716,150.059945114926,62958.4569313393,-12.5505224227905,-3.19266313227083,NaN,NaN,NaN
850.111259674348,2,64452.2582928811,137669.182098061,403.346761968586,414.770529275324,8.87038428895175,3.07724001187574E-05,0,-178.344810171732,-150.065022591797,150.03385779944,62930.0364518481,-12.5683341026306,-3.19266313227083,NaN,NaN,NaN
850.331259674313,2,64425.7171430955,137605.129668187,403.408016471004,414.830131505426,8.87038428895175,3.07892048930115E-05,0,-178.342992637001,-150.038477672677,150.007293720943,62902.6731801734,-12.5866237640381,-3.19266313227083,NaN,NaN,NaN
850.551259674277,2,64399.1602200505,137541.070149087,403.469310981079,414.889773141899,8.87038428895175,3.03484280265199E-05,0,-178.3412217814,-150.011560481529,149.980365271657,62872.3494087918,-12.6052896499634,-3.19266313227083,NaN,NaN,NaN
850.771259674242,2,64372.5870395762,137476.987051218,403.530646029726,414.949454700838,8.87038428895175,3.03658767616748E-05,0,-178.339488323923,-149.984529378382,149.953319556755,62839.147610173,-12.6240693092346,-3.19266313227083,NaN,NaN,NaN
850.991259674207,2,64345.997601336,137412.903614488,403.592021623881,415.009176189694,8.87038428895175,3.03833569327261E-05,0,-178.337734864483,-149.95761072039,149.926382431762,62806.2027997099,-12.642739200592,-3.19266313227083,NaN,NaN,NaN
851.211259674172,2,64319.391905067,137348.789750853,403.653437774423,415.068937619835,8.87038428895175,3.04004666028009E-05,0,-178.335954735838,-149.93095171606,149.899707534052,62771.6892966265,-12.6611587524414,-3.19266313227083,NaN,NaN,NaN
851.431259674137,2,64292.7699501584,137284.675509549,403.714894485913,415.128738996312,8.87038428895175,3.04166132985946E-05,0,-178.334124299997,-149.904501604766,149.873240479527,62738.1003565385,-12.6793733596802,-3.19266313227083,NaN,NaN,NaN
851.651259674101,2,64266.1317365239,137220.547261335,403.776391767696,415.188580328993,8.87038428895175,3.04332982572902E-05,0,-178.332299372364,-149.878139514618,149.846857713748,62701.6416937298,-12.6975052833557,-3.19266313227083,NaN,NaN,NaN
851.871259674066,2,64239.4772636158,137156.402122162,403.837929632962,415.24846163157,8.87038428895175,3.04507417098064E-05,0,-178.330437829039,-149.851718570645,149.820421124405,62663.7170397424,-12.7156987190247,-3.19266313227083,NaN,NaN,NaN
852.091259674031,2,64212.8065310412,137092.240075079,403.899508088468,415.308382911298,8.87038428895175,3.04680623480214E-05,0,-178.328646104036,-149.825141165138,149.793823576332,62624.4846657549,-12.7340421676636,-3.19266313227083,NaN,NaN,NaN
852.311259673996,2,64186.1195384394,137028.080431691,403.961127144582,415.36834417903,8.87038428895175,3.04853649866225E-05,0,-178.326902386244,-149.798462224281,149.767128526634,62587.3442024042,-12.752502822876,-3.19266313227083,NaN,NaN,NaN
852.53125967396,2,64159.416285328,136963.887352256,404.022786806929,415.428345440901,8.87038428895175,3.05020932902396E-05,0,-178.325178292639,-149.771744628531,149.740398543108,62550.6504903207,-12.7710003852844,-3.19266313227083,NaN,NaN,NaN
852.751259673925,2,64132.6967716252,136899.696626038,404.08448708541,415.488386707346,8.87038428895175,3.05194982871071E-05,0,-178.323436833452,-149.745077775332,149.713719035852,62513.9286701633,-12.7894462585449,-3.19266313227083,NaN,NaN,NaN
852.97125967389,2,64105.9609967854,136835.482075445,404.146227989835,415.548467988657,8.87038428895175,3.05368396233751E-05,0,-178.32166639111,-149.718453327547,149.68707566945,62479.4596381803,-12.8078608512878,-3.19266313227083,NaN,NaN,NaN
853.191259673855,2,64079.2089605118,136771.250508068,404.208009528754,415.608589293883,8.87038428895175,3.05540697963911E-05,0,-178.319855566547,-149.691855963756,149.660462266633,62453.5832885767,-12.8262470245361,-3.19266313227083,NaN,NaN,NaN
853.41125967382,2,64052.4406625127,136707.011565468,404.26983171261,415.668750633993,8.87038428895175,3.05717133975815E-05,0,-178.318044918124,-149.665277419756,149.633867942307,62424.4401294747,-12.8446262359619,-3.19266313227083,NaN,NaN,NaN
853.631259673784,2,64025.6561023112,136642.765226344,404.331694546979,415.728952015044,8.87038428895175,3.05889382984683E-05,0,-178.316219003953,-149.638700674386,149.607271719996,62394.9973367228,-12.8629994392395,-3.19266313227083,NaN,NaN,NaN
853.851259673749,2,63998.855279619,136578.494966697,404.393598042597,415.789193448286,8.87038428895175,3.0606127219302E-05,0,-178.314399561765,-149.612108184834,149.580662131397,62368.2513004808,-12.8813996315002,-3.19266313227083,NaN,NaN,NaN
854.071259673714,2,63972.0381940093,136514.224115995,404.45554220838,415.849474943128,8.87038428895175,3.06234116259676E-05,0,-178.312611338551,-149.585504498999,149.554044594298,62341.2979629565,-12.8998096466064,-3.19266313227083,NaN,NaN,NaN
854.291259673679,2,63945.2048451715,136449.932097988,404.517527051234,415.909796506983,8.87038428895175,3.06407616313508E-05,0,-178.310852356248,-149.558873171935,149.52739689829,62315.5963610416,-12.918249797821,-3.19266313227083,NaN,NaN,NaN
854.511259673644,2,63918.355232514,136385.62979481,404.579552581995,415.970158151196,8.87038428895175,3.06585477182976E-05,0,-178.309086374227,-149.532252914197,149.500761499087,62292.587321826,-12.9366841316223,-3.19266313227083,NaN,NaN,NaN
854.731259673608,2,63891.4893557857,136321.303474666,404.641618810029,416.030559885633,8.87038428895175,3.06763055371835E-05,0,-178.307261807319,-149.505641175081,149.47413298635,62267.9802241633,-12.9551120758057,-3.19266313227083,NaN,NaN,NaN
854.951259673573,2,63864.607214907,136256.979275126,404.703725741316,416.091001716769,8.87038428895175,3.0692716344258E-05,0,-178.305422147142,-149.479032372268,149.44750596174,62240.3038218246,-12.9735452651978,-3.19266313227083,NaN,NaN,NaN
855.171259673538,2,63837.7088093281,136192.628226146,404.765873387946,416.151483657204,8.87038428895175,3.07099122840439E-05,0,-178.303617388267,-149.45244350639,149.42090122627,62211.939131616,-12.9919617652893,-3.19266313227083,NaN,NaN,NaN
855.391259673503,2,63810.7941385966,136128.272381696,404.828061757959,416.212005715444,8.87038428895175,3.07271545794868E-05,0,-178.301804993167,-149.425846882866,149.394289209771,62188.2861427273,-13.010387802124,-3.19266313227083,NaN,NaN,NaN
855.611259673467,2,63783.8632023907,136063.899291861,404.890290860075,416.272567900771,8.87038428895175,3.07455508574536E-05,0,-178.29999453645,-149.399240637675,149.367662549412,62164.6781630548,-13.0288262367249,-3.19266313227083,NaN,NaN,NaN
855.831259673432,2,63756.9160006108,135999.508939736,404.952560702712,416.333170222093,8.87038428895175,3.07630076017971E-05,0,-178.29819040859,-149.372619394347,149.341026630629,62142.5659931745,-13.047284412384,-3.19266313227083,NaN,NaN,NaN
856.051259673397,2,63729.9525324687,135935.104065462,405.014871295341,416.393812689343,8.87038428895175,3.07800522657462E-05,0,-178.296391696786,-149.346012466527,149.314405561362,62119.0944998247,-13.0657302856445,-3.19266313227083,NaN,NaN,NaN
856.275829985891,2,63704.5248502831,135863.507647185,405.073635794091,416.451004456691,8.87038428895175,0,0,-178.294703783176,-149.320929410706,149.289303142391,62096.8782643669,-13.0831248283386,-3.19266313227083,NaN,NaN,NaN
856.511191314021,2,63691.3358445986,135794.570591405,405.104117493201,416.480670568597,8.87038428895175,0,0,-178.293823697467,-149.307928140409,149.276291026516,62087.5665926718,-13.0921409606934,-3.19266313227083,NaN,NaN,NaN
856.721787017144,2,63677.9746933289,135732.887091353,405.134998185867,416.51072517344,8.87038428895175,0,0,-178.292928439565,-149.294763123636,149.263118584871,62079.8631736812,-13.1012725830078,-3.19266313227083,NaN,NaN,NaN
856.940390532771,2,63660.5055577398,135668.839557057,405.175374617588,416.550021687856,8.87038428895175,0,0,-178.291757920415,-149.277557454646,149.245902166561,62070.7031300574,-13.1132086753845,-3.19266313227083,NaN,NaN,NaN
857.167001860893,2,63638.8856744138,135602.433428419,405.225346300182,416.598657065327,8.87038428895175,0,0,-178.29030937709,-149.256271139155,149.22460408047,62059.7913989868,-13.1279787063599,-3.19266313227083,NaN,NaN,NaN
857.401621001518,2,63613.0719904708,135533.660300592,405.285013475973,416.656728979281,8.87038428895175,0,0,-178.288579866375,-149.230865529686,149.199183003745,62045.6958471312,-13.1456087112427,-3.19266313227083,NaN,NaN,NaN
857.644247954646,2,63585.4536951467,135462.530955927,405.348854945487,416.718864044707,8.87038428895175,0,0,-178.286729562609,-149.203699847792,149.172001637177,62027.7246042967,-13.164465045929,-3.19266313227083,NaN,NaN,NaN
857.894882720269,2,63556.8328728799,135389.031407267,405.41501734089,416.783258538917,8.87038428895175,0,0,-178.284812152916,-149.175565246508,149.143850436602,62006.4943178082,-13.1839979171753,-3.19266313227083,NaN,NaN,NaN
858.153525298396,2,63527.2076442098,135313.169618378,405.483505385294,416.849917116253,8.87038428895175,0,0,-178.282827563164,-149.146461250556,149.114729788882,61981.7885255717,-13.2042078971863,-3.19266313227083,NaN,NaN,NaN
858.420126860896,2,63496.5766691633,135234.944326079,405.554322572675,416.91884323691,8.87038428895175,0,0,-178.280775654153,-149.116389965395,149.084638167227,61954.4428894193,-13.2250931739807,-3.19266313227083,NaN,NaN,NaN
858.694687407769,2,63464.9397487172,135154.374754451,405.627469770082,416.990037806263,8.87038428895175,0,0,-178.278656478452,-149.085352439033,149.053582097378,61925.6941712591,-13.2466555595398,-3.19266313227083,NaN,NaN,NaN
858.977255767146,2,63432.2948138048,135071.423700389,405.702952185575,417.06350595702,8.87038428895175,0,0,-178.276469845303,-149.053347317283,149.021558212512,61896.4263545958,-13.2688946723938,-3.19266313227083,NaN,NaN,NaN
859.267831939018,2,63398.6397303165,134986.105819131,405.780775191976,417.139252984449,8.87038428895175,0,0,-178.274215669217,-149.020376582219,148.988567882369,61864.8537043149,-13.2918113708496,-3.19266313227083,NaN,NaN,NaN
859.566415923393,2,63363.9722993259,134898.405247822,405.860944327161,417.217284346616,8.87038428895175,0,0,-178.271893800566,-148.986439755781,148.954609900119,61832.735011597,-13.3154059410095,-3.19266313227083,NaN,NaN,NaN
859.873007720271,2,63328.2896552945,134808.319949634,405.943466687807,417.297607021065,8.87038428895175,0,0,-178.269504057634,-148.951534830546,148.919685129876,61799.1248036817,-13.3396801948547,-3.19266313227083,NaN,NaN,NaN
860.187607329644,2,63291.5876606629,134715.874020357,406.028352327834,417.380230865962,8.87038428895175,0,0,-178.267046111187,-148.91566097171,148.883789869006,61764.6461376619,-13.3646347045898,-3.19266313227083,NaN,NaN,NaN
860.510214751521,2,63253.8639184081,134621.032154324,406.11560729084,417.465161838419,8.87038428895175,0,0,-178.264519842774,-148.878817578204,148.846923827155,61729.2621772399,-13.3902708053589,-3.19266313227083,NaN,NaN,NaN
860.840829985893,2,63215.1159683257,134523.801739942,406.205237786776,417.552406059764,8.87038428895175,0,0,-178.261925123438,-148.841004687853,148.80908876164,61693.9787844156,-13.4165893554688,-3.19266313227083,NaN,NaN,NaN
861.179453032768,2,63175.3412846839,134424.187475473,406.297250192225,417.641969815825,8.87038428895175,0,0,-178.259261752352,-148.802223038662,148.77028453389,61658.3521968755,-13.4435913085937,-3.19266313227083,NaN,NaN,NaN
861.526083892146,2,63134.5372761706,134322.182686231,406.391651050743,417.733859557209,8.87038428895175,0,0,-178.25652953719,-148.762472550445,148.730511081664,61622.8492743407,-13.4712752342224,-3.19266313227083,NaN,NaN,NaN
861.880722564019,2,63092.7012868838,134217.794575011,406.488447073066,417.828081899602,8.87038428895175,0,0,-178.253728349067,-148.721753602164,148.689768417346,61586.3759106242,-13.4996437072754,-3.19266313227083,NaN,NaN,NaN
862.243369048396,2,63049.830597914,134111.001447911,406.587645137335,417.924643624067,8.87038428895175,0,0,-178.250858007009,-148.680065809548,148.64805664237,61548.7649328918,-13.5286953926086,-3.19266313227083,NaN,NaN,NaN
862.613925689024,2,63005.924250139,134001.843990709,406.689248057574,418.023547557589,8.87038428895175,0,0,-178.247918373048,-148.637410076905,148.605375915816,61510.2148755258,-13.5584303855896,-3.19266313227083,NaN,NaN,NaN
862.992490142147,2,62960.9800089569,133890.28825037,406.79326162668,418.124799429415,8.87038428895175,0,0,-178.244909371236,-148.593787307458,148.561727142581,61471.2995619964,-13.5888481140137,-3.19266313227083,NaN,NaN,NaN
863.379062407774,2,62914.9949633568,133776.324947596,406.899693214337,418.228406505991,8.87038428895175,0,0,-178.241830810065,-148.549197799889,148.51711129651,61430.2753211266,-13.6199522018433,-3.19266313227083,NaN,NaN,NaN
863.773642485896,2,62867.9661399895,133659.960955979,407.008550358426,418.334376220039,8.87038428895175,0,0,-178.238682465955,-148.503640815153,148.471528116824,61385.8823887232,-13.651741027832,-3.19266313227083,NaN,NaN,NaN
863.973642485893,2,62844.0630348962,133600.963061553,407.063882416406,418.388241160007,8.87038428895175,0,0,-178.237082240043,-148.480503070815,148.448376894075,61362.7186990766,-13.6678912162781,-3.19266313227083,NaN,NaN,NaN
864.17364248589,2,62819.9266127535,133541.951219345,407.119757143409,418.442634762548,8.87038428895175,0,0,-178.235466461511,-148.457151388636,148.425011896751,61338.9172586758,-13.6841932296753,-3.19266313227083,NaN,NaN,NaN
864.373642485887,2,62795.5810174707,133482.933261645,407.176118712296,418.497502689494,8.87038428895175,0,0,-178.233836698558,-148.433609545169,148.401456304627,61314.267843523,-13.7006311416626,-3.19266313227083,NaN,NaN,NaN
864.573642485884,2,62771.0510375345,133423.899570832,407.232909793696,418.552789139127,8.87038428895175,0,0,-178.232194636689,-148.40990190071,148.377734552019,61288.9078114616,-13.7171885490417,-3.19266313227083,NaN,NaN,NaN
864.773642485881,2,62746.3615001955,133364.850124868,407.290072963466,418.608438216388,8.87038428895175,0,0,-178.23054190796,-148.386052168791,148.353871679364,61262.6990679247,-13.7338478088379,-3.19266313227083,NaN,NaN,NaN
864.973642485878,2,62721.5372698059,133305.791950242,407.347550701744,418.664393931836,8.87038428895175,0,0,-178.228880165624,-148.362084416655,148.329890075576,61235.8306272027,-13.7505922317505,-3.19266313227083,NaN,NaN,NaN
865.173642485875,2,62696.6032502594,133246.720547574,407.4052853918,418.720600200605,8.87038428895175,0,0,-178.227211073887,-148.338023183603,148.305815334605,61208.4816018914,-13.7674048423767,-3.19266313227083,NaN,NaN,NaN
865.373642485873,2,62671.5843830272,133187.64997259,407.463219319086,418.777000841352,8.87038428895175,0,0,-178.225536349741,-148.313892250622,148.281671056794,61180.9246463577,-13.7842699050903,-3.19266313227083,NaN,NaN,NaN
865.57364248587,2,62646.5056496586,133128.546939312,407.52129467007,418.833539575216,8.87038428895175,0,0,-178.223857604182,-148.289716088415,148.257480786378,61154.0039717284,-13.8011690139771,-3.19266313227083,NaN,NaN,NaN
865.773642485867,2,62621.3920711779,133069.444710124,407.579453531245,418.890160024769,8.87038428895175,0,0,-178.222176544036,-148.265519523983,148.233270624546,61127.8918517117,-13.8180859565735,-3.19266313227083,NaN,NaN,NaN
865.973642485864,2,62596.2650379504,133010.326617566,407.637646387466,418.946813987348,8.87038428895175,0,0,-178.220494641129,-148.241323117173,148.209060767487,61102.6336531225,-13.8350066184998,-3.19266313227083,NaN,NaN,NaN
866.173642485861,2,62571.1245493516,132951.202250035,407.695873245872,419.003501470441,8.87038428895175,0,0,-178.218811821011,-148.217126212518,148.184849911983,61078.1366027437,-13.8519309043884,-3.19266313227083,NaN,NaN,NaN
866.373642485858,2,62545.9706060486,132892.061985219,407.754134113544,419.060222481543,8.87038428895175,0,0,-178.217128083555,-148.192928695219,148.160639352264,61053.9579216524,-13.8688588142395,-3.19266313227083,NaN,NaN,NaN
866.573642485855,2,62520.8032069349,132832.91539638,407.812428997649,419.116977028156,8.87038428895175,0,0,-178.215443471345,-148.168731321249,148.136428436254,61029.5735961296,-13.8857887268066,-3.19266313227083,NaN,NaN,NaN
866.773642485852,2,62495.622350932,132773.750367075,407.870757905356,419.173765117793,8.87038428895175,0,0,-178.213757952408,-148.144533906675,148.112217157724,61004.991225202,-13.9027229309082,-3.19266313227083,NaN,NaN,NaN
866.973642485849,2,62470.4280397238,132714.57190641,407.929120843737,419.230586757971,8.87038428895175,0,0,-178.212071548169,-148.120335757319,148.088005519238,60980.3294587698,-13.9196612358093,-3.19266313227083,NaN,NaN,NaN
867.173642485846,2,62445.2202721599,132655.394142215,407.987517819974,419.287441956217,8.87038428895175,0,0,-178.210384226545,-148.096137557728,148.063793510197,60959.6239869388,-13.9366016387939,-3.19266313227083,NaN,NaN,NaN
867.373642485843,2,62419.9990481234,132596.200400925,408.045948841237,419.344330720065,8.87038428895175,0,0,-178.208695998324,-148.071939125044,148.03958177637,60943.3817715994,-13.9535455703735,-3.19266313227083,NaN,NaN,NaN
867.573642485841,2,62394.7643670969,132536.983573859,408.104413914695,419.401253057058,8.87038428895175,0,0,-178.207006884686,-148.047741104714,148.015369667919,60930.5296024165,-13.9704936027527,-3.19266313227083,NaN,NaN,NaN
867.773642485838,2,62369.5162290457,132477.767402082,408.162913047512,419.458208974745,8.87038428895175,0,0,-178.205316853738,-148.023541861491,147.991157178668,60920.450922503,-13.9874438285828,-3.19266313227083,NaN,NaN,NaN
867.973642485835,2,62344.2546336771,132418.525617578,408.221446246884,419.515198480685,8.87038428895175,0,0,-178.203625926717,-147.999342551974,147.966944948723,60912.7522135613,-14.0043974876404,-3.19266313227083,NaN,NaN,NaN
868.173642485832,2,62318.9795809518,132359.286938994,408.28001352,419.572221582443,8.87038428895175,0,0,-178.201934082295,-147.975143169567,147.942731692455,60907.691244563,-14.0213537216187,-3.19266313227083,NaN,NaN,NaN
